student_id|student_name|gender|date_of_birth
S2410001|Budi Sari Setiawan|female|2008-03-25
S2410002|Joko Dian Saputra|male|2008-03-24
S2410003|Intan Dian Lestari|female|2008-05-04
S2410004|Adi Cahya Cahyadi|male|2009-10-01
S2410005|Budi Sari Kusuma|male|2009-06-10
S2410006|Intan Nugraha Firmansyah|female|2009-02-03
S2410007|Citra Fitri Cahyadi|male|2008-03-11
S2410008|Hadi Ayu Maulana|male|2008-06-18
S2410009|Citra Andi Pratama|male|2008-03-23
S2410010|Hadi Nugraha Pratama|female|2008-05-23
S2410011|Fajar Andi Pratiwi|female|2009-03-17
S2410012|Eka Andi Pratama|male|2008-01-14
S2410013|Fajar Bagus Saputra|female|2008-02-06
S2410014|Gita Bagus Putri|male|2009-03-27
S2410015|Citra Dian Rahman|female|2009-11-24
S2410016|Intan Dian Cahyadi|female|2009-09-04
S2410017|Budi Bagus Pratiwi|female|2009-08-17
S2410018|Eka Dian Cahyadi|female|2009-10-11
S2410019|Budi Fitri Wati|male|2008-06-04
S2410020|Intan Cahya Wati|male|2008-06-12
S2410021|Fajar Andi Syahputra|male|2009-03-05
S2410022|Adi Dian Putri|male|2008-08-04
S2410023|Gita Dian Cahyadi|female|2008-12-18
S2410024|Adi Bagus Saputri|female|2008-11-12
S2410025|Citra Sari Anggraini|female|2009-05-09
S2410026|Gita Bagus Oktaviani|female|2008-10-28
S2410027|Citra Hendra Saputra|female|2009-12-08
S2410028|Hadi Cahya Kusuma|female|2009-02-19
S2410029|Dwi Bagus Hartono|female|2008-01-27
S2410030|Hadi Sari Hartono|male|2009-02-20
S2410031|Citra Dian Rahman|female|2009-10-05
S2410032|Eka Bagus Anggraini|male|2008-04-16
S2410033|Adi Dian Saputri|male|2009-05-07
S2410034|Budi Hendra Hidayat|male|2009-11-27
S2410035|Dwi Fitri Pratama|female|2008-08-26
S2410036|Gita Dian Syahputra|male|2009-07-12
S2410037|Budi Bagus Hartono|female|2009-01-21
S2410038|Hadi Cahya Setiawan|male|2009-08-04
S2410039|Hadi Lestari Saputra|male|2008-08-15
S2410040|Citra Ayu Saputri|female|2009-03-10
S2410041|Adi Sari Anggraini|male|2008-11-16
S2410042|Joko Ayu Yulianti|female|2009-06-02
S2410043|Adi Fitri Wijaya|female|2008-05-08
S2410044|Joko Hendra Cahyadi|female|2008-08-08
S2410045|Hadi Sari Setiawan|female|2008-12-04
S2410046|Gita Cahya Rahman|male|2009-04-24
S2410047|Eka Sari Anggraini|male|2008-07-03
S2410048|Dwi Dian Lestari|female|2008-12-17
S2410049|Gita Nugraha Kusuma|female|2009-01-15
S2410050|Eka Lestari Kusuma|female|2009-12-19
S2410051|Adi Fitri Ramadhan|female|2009-12-20
S2410052|Gita Hendra Pratiwi|male|2009-12-18
S2410053|Fajar Ayu Ramadhan|female|2009-05-26
S2410054|Dwi Ayu Nugroho|male|2008-08-19
S2410055|Fajar Cahya Saputra|female|2009-06-25
S2410056|Eka Nugraha Yulianti|female|2009-08-03
S2410057|Gita Sari Cahyadi|female|2009-07-03
S2410058|Gita Sari Setiawan|female|2008-07-26
S2410059|Budi Fitri Hartono|male|2009-06-07
S2410060|Intan Ayu Maulana|male|2008-09-05
S2410061|Adi Dian Maulana|male|2009-11-12
S2410062|Gita Bagus Maulana|female|2009-09-09
S2410063|Budi Andi Kusuma|male|2009-12-14
S2410064|Citra Dian Maulana|male|2009-06-01
S2410065|Eka Hendra Putri|male|2008-04-13
